product,category,revenue,units_sold
Premium Coffee Blend,Beverages,45200,3140
Organic Honey 500g,Pantry,38900,2890
Artisan Chocolate Bar,Snacks,52100,4250
Cold Brew Concentrate,Beverages,29800,1980
Greek Yogurt 4-pack,Dairy,33400,3650
Sourdough Bread,Bakery,27600,2810
Almond Butter,Pantry,19800,1340
Sparkling Water 12pk,Beverages,15200,2100
Granola Cereal,Pantry,22100,1870
Frozen Berry Mix,Frozen,18900,1560
Discount Crackers,Snacks,4200,980
Generic Soap Bar,Household,3800,1450
Off-brand Pasta,Pantry,5100,1620
Store Brand Napkins,Household,2900,2200
Clearance Candy,Snacks,3400,1100
